歌曲名称,视频内容与歌词语义、语境是否吻合,视频内容是否连贯,视频内容与音乐节奏是否匹配
A-Lin - 失恋无罪_31,1,1,1
A-Lin - 失恋无罪_8,1,1,1
A阿酒 _ 萌少 _ 苗子 _ 喜羊羊he美羊羊 - 快乐出发_3_0,1,1,1
A阿酒 _ 萌少 _ 苗子 _ 喜羊羊he美羊羊 - 快乐出发_3_1,1,0,1
A阿酒 _ 萌少 _ 苗子 _ 喜羊羊he美羊羊 - 快乐出发_3_2,0,1,1
A阿酒 _ 萌少 _ 苗子 _ 喜羊羊he美羊羊 - 快乐出发_3_3,1,1,1
A阿酒 _ 萌少 _ 苗子 _ 喜羊羊he美羊羊 - 快乐出发_3_4,0,0,1
C-block - 校花心理学_3_0,1,1,1
C-block - 校花心理学_3_1,1,1,1
C-block - 校花心理学_3_2,1,1,1
C-block - 校花心理学_3_3,1,1,1
C-block - 校花心理学_3_4,1,0,0
FAFA - 好想爱这个世界_1,0,1,1
G_E_M_ 邓紫棋 - 龙卷风_40_0,0,0,0
G_E_M_ 邓紫棋 - 龙卷风_40_1,0,0,1
G_E_M_ 邓紫棋 - 龙卷风_40_2,1,1,1
G_E_M_ 邓紫棋 - 龙卷风_7_0,0,1,0
G_E_M_ 邓紫棋 - 龙卷风_7_1,1,1,0
G_E_M_ 邓紫棋 - 龙卷风_7_2,0,0,1
G_E_M_ 邓紫棋 - 桃花诺_7,1,1,1
G_E_M_ 邓紫棋 _ 王者荣耀 - 无双的王者_13,0,0,0
G_E_M_ 邓紫棋 _ 王者荣耀 - 无双的王者_26,0,1,1
G_E_M_ 邓紫棋 _ 王者荣耀 - 无双的王者_33,0,1,1
G_E_M_ 邓紫棋 _ 王者荣耀 - 无双的王者_46,1,1,0
G_E_M_ 邓紫棋 _ 王者荣耀 - 无双的王者_7,1,1,1
Olivia Ong - 如燕_28_0,0,0,1
Olivia Ong - 如燕_28_1,0,0,1
Olivia Ong - 如燕_3,1,0,1
S_H_E - 魔力 (Live)_11,1,1,1
S_H_E - 魔力 (Live)_3,1,0,1
S_H_E - 魔力 (Live)_38,1,0,1
T_R_Y - 不是因为寂寞才想你_3_1,1,0,1
T_R_Y - 不是因为寂寞才想你_33,1,1,1
T_R_Y - 不是因为寂寞才想你_42,1,0,1
T_R_Y - 深夜地下铁_3_0,1,1,1
T_R_Y - 深夜地下铁_3_2,0,0,0
Tank - 千年泪_12,1,1,1
Tank - 千年泪_20,1,1,1
Tank - 千年泪_3,1,0,1
Tank - 千年泪_52,1,1,1
XinFei起风了_1_0,1,1,1
XinFei起风了_1_1,1,1,1
XinFei起风了_6_0,1,1,1
XinFei起风了_6_1,1,0,0
阿杜 - 他一定很爱你_20,1,1,1
阿杜 - 他一定很爱你_36,1,1,1
阿杜 - 他一定很爱你_44,1,1,1
阿拉斯加海湾_1_0,0,0,0
阿拉斯加海湾_1_1,1,1,1
阿拉斯加海湾_1_2,1,1,0
阿拉斯加海湾_1_3,1,0,1
